                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.28097,                0.31776,                0.89768,                0.99593,                      1,                  0.995,                  0.995,                0.13539,                0.14799,                0.62366,              0.0002674,              0.0002674,              0.0002674
                     76,                0.27045,                0.32126,                0.90316,                0.99693,                      1,                  0.995,                0.99341,                0.13235,                0.14955,                0.62181,              0.0002575,              0.0002575,              0.0002575
                     77,                 0.2617,                0.32083,                0.89641,                0.99675,                      1,                  0.995,                  0.994,                0.12456,                0.13693,                0.62044,              0.0002476,              0.0002476,              0.0002476
                     78,                0.25714,                0.31145,                  0.889,                0.99626,                      1,                  0.995,                0.99388,                0.11925,                0.15345,                0.62282,              0.0002377,              0.0002377,              0.0002377
                     79,                0.28163,                0.32313,                0.90086,                0.99675,                      1,                  0.995,                0.99418,                0.11566,                0.13775,                0.62194,              0.0002278,              0.0002278,              0.0002278
                     80,                0.26458,                 0.3034,                0.90454,                0.99687,                      1,                  0.995,                0.99424,                0.11879,                0.14309,                0.62335,              0.0002179,              0.0002179,              0.0002179
                     81,                0.24854,                0.29759,                0.89345,                0.99686,                      1,                  0.995,                  0.995,                0.11854,                0.14334,                 0.6218,               0.000208,               0.000208,               0.000208
                     82,                0.25928,                0.28725,                0.90328,                0.99644,                      1,                  0.995,                0.99341,                0.11911,                0.13173,                 0.6193,              0.0001981,              0.0001981,              0.0001981
                     83,                0.27508,                 0.3245,                0.91776,                0.99654,                      1,                  0.995,                0.99425,                0.12308,                0.13759,                0.62245,              0.0001882,              0.0001882,              0.0001882
                     84,                 0.2541,                0.30481,                0.88847,                0.99676,                      1,                  0.995,                  0.995,                0.11912,                0.13863,                0.62053,              0.0001783,              0.0001783,              0.0001783
                     85,                0.26741,                0.29921,                0.89443,                0.99657,                      1,                  0.995,                  0.995,                0.11659,                0.13343,                0.61902,              0.0001684,              0.0001684,              0.0001684
                     86,                0.27084,                0.29906,                0.90019,                0.99645,                      1,                  0.995,                  0.995,                0.11183,                0.12399,                0.61862,              0.0001585,              0.0001585,              0.0001585
